0,norms
"grated cheese,herb & pepper,whole wheat pasta,yams,mineral water,bacon,nonfat milk,spinach","bacon,grated cheese,herb pepper,mineral water,nonfat milk,spinach,whole wheat pasta,yams"
"spaghetti,milk","milk,spaghetti"
"milk,chocolate,white wine","chocolate,milk,white wine"
sandwich,sandwich
"chocolate,light mayo","chocolate,light mayo"
"shrimp,whole wheat pasta,spaghetti,meatballs,chicken,frozen smoothie,tomato juice","chicken,frozen smoothie,meatballs,shrimp,spaghetti,tomato juice,whole wheat pasta"
"red wine,ground beef,spaghetti,mineral water,eggs","eggs,ground beef,mineral water,red wine,spaghetti"
"yams,melons","melons,yams"
"spaghetti,cooking oil","cooking oil,spaghetti"
french fries,french fries
"mineral water,milk,spinach,cooking oil,chocolate,frozen smoothie,hot dogs","chocolate,cooking oil,frozen smoothie,hot dogs,milk,mineral water,spinach"
"tomato sauce,milk","milk,tomato sauce"
"shrimp,cider,eggs,french fries","cider,eggs,french fries,shrimp"
champagne,champagne
salad,salad
french fries,french fries
"frozen vegetables,mineral water,energy bar,honey,rice,green tea","energy bar,frozen vegetables,green tea,honey,mineral water,rice"
"french fries,salad","french fries,salad"
"honey,chocolate,french fries,brownies","brownies,chocolate,french fries,honey"
"green tea,strawberries,gluten free bar","gluten free bar,green tea,strawberries"
"frozen vegetables,ground beef,mineral water,salmon,honey,extra dark chocolate,green tea,mushroom cream sauce,gluten free bar","extra dark chocolate,frozen vegetables,gluten free bar,green tea,ground beef,honey,mineral water,mushroom cream sauce,salmon"
"grated cheese,tomatoes,mineral water,meatballs","grated cheese,meatballs,mineral water,tomatoes"
"shrimp,chocolate,water spray","chocolate,shrimp,water spray"
turkey,turkey
"turkey,eggs","eggs,turkey"
"turkey,frozen vegetables,tomatoes,soup,butter,french wine,pancakes,eggs,tomato juice,fresh bread,green tea","butter,eggs,french wine,fresh bread,frozen vegetables,green tea,pancakes,soup,tomato juice,tomatoes,turkey"
spaghetti,spaghetti
"milk,frozen smoothie,low fat yogurt","frozen smoothie,low fat yogurt,milk"
"burgers,mineral water,milk,whole wheat rice,cereals,chocolate,french fries","burgers,cereals,chocolate,french fries,milk,mineral water,whole wheat rice"
mineral water,mineral water
"tomatoes,mineral water,soup,cake,chocolate","cake,chocolate,mineral water,soup,tomatoes"
mineral water,mineral water
"ground beef,spaghetti","ground beef,spaghetti"
"pepper,frozen smoothie","frozen smoothie,pepper"
yogurt cake,yogurt cake
"red wine,pancakes","pancakes,red wine"
candy bars,candy bars
"eggs,french fries,low fat yogurt","eggs,french fries,low fat yogurt"
cookies,cookies
cookies,cookies
"spaghetti,soup,vegetables mix,spinach,french fries,escalope,cauliflower,toothpaste","cauliflower,escalope,french fries,soup,spaghetti,spinach,toothpaste,vegetables mix"
cookies,cookies
"soup,olive oil,eggs,soda,corn","corn,eggs,olive oil,soda,soup"
"chocolate,frozen smoothie,low fat yogurt","chocolate,frozen smoothie,low fat yogurt"
"spaghetti,mineral water,milk,pancakes,chocolate,french fries","chocolate,french fries,milk,mineral water,pancakes,spaghetti"
mineral water,mineral water
"herb & pepper,frozen vegetables,tomato sauce,mineral water,soup,milk,olive oil,almonds","almonds,frozen vegetables,herb pepper,milk,mineral water,olive oil,soup,tomato sauce"
"burgers,eggs","burgers,eggs"
french fries,french fries
"frozen smoothie,cottage cheese","cottage cheese,frozen smoothie"
"tomatoes,mineral water,chocolate,light mayo","chocolate,light mayo,mineral water,tomatoes"
"salmon,escalope,shallot,strawberries,fresh bread,low fat yogurt","escalope,fresh bread,low fat yogurt,salmon,shallot,strawberries"
energy bar,energy bar
"red wine,ground beef,spaghetti,pancakes,blueberries,oil,cooking oil,tomato juice","blueberries,cooking oil,ground beef,oil,pancakes,red wine,spaghetti,tomato juice"
"ground beef,spaghetti,mineral water,milk,frozen smoothie,champagne","champagne,frozen smoothie,ground beef,milk,mineral water,spaghetti"
cookies,cookies
"salmon,escalope","escalope,salmon"
cookies,cookies
low fat yogurt,low fat yogurt
eggs,eggs
"red wine,butter,hot dogs","butter,hot dogs,red wine"
"tomatoes,mineral water,soup,mashed potato","mashed potato,mineral water,soup,tomatoes"
cookies,cookies
"parmesan cheese,ground beef,salmon,pancakes,champagne","champagne,ground beef,pancakes,parmesan cheese,salmon"
"ground beef,yams,chocolate,olive oil,eggs","chocolate,eggs,ground beef,olive oil,yams"
"shrimp,salmon,eggs,cookies,hot dogs","cookies,eggs,hot dogs,salmon,shrimp"
"magazines,mint","magazines,mint"
"turkey,mineral water,eggs,cooking oil,extra dark chocolate,escalope","cooking oil,eggs,escalope,extra dark chocolate,mineral water,turkey"
"mineral water,mushroom cream sauce","mineral water,mushroom cream sauce"
"grated cheese,frozen vegetables,mineral water,soup,milk,french wine","french wine,frozen vegetables,grated cheese,milk,mineral water,soup"
"chocolate,cake","cake,chocolate"
"burgers,salt,white wine","burgers,salt,white wine"
energy drink,energy drink
"olive oil,cake,energy drink","cake,energy drink,olive oil"
"ground beef,whole wheat rice","ground beef,whole wheat rice"
"eggs,french fries","eggs,french fries"
"spaghetti,escalope,mushroom cream sauce","escalope,mushroom cream sauce,spaghetti"
"mineral water,fromage blanc,whole wheat rice,cake,french fries","cake,french fries,fromage blanc,mineral water,whole wheat rice"
"turkey,burgers,frozen vegetables,ground beef,mineral water,milk,eggs,cake,light mayo","burgers,cake,eggs,frozen vegetables,ground beef,light mayo,milk,mineral water,turkey"
"green tea,cottage cheese","cottage cheese,green tea"
"fresh tuna,eggs,champagne","champagne,eggs,fresh tuna"
cookies,cookies
cookies,cookies
cookies,cookies
"tomatoes,mineral water,eggplant","eggplant,mineral water,tomatoes"
"grated cheese,tomatoes,spaghetti,mineral water,soup,honey,chicken,chocolate,french fries","chicken,chocolate,french fries,grated cheese,honey,mineral water,soup,spaghetti,tomatoes"
protein bar,protein bar
"herb & pepper,red wine,shrimp,mineral water,barbecue sauce,protein bar","barbecue sauce,herb pepper,mineral water,protein bar,red wine,shrimp"
"burgers,ham,spaghetti,mineral water,milk,eggs,french fries,escalope,pancakes,low fat yogurt","burgers,eggs,escalope,french fries,ham,low fat yogurt,milk,mineral water,pancakes,spaghetti"
french fries,french fries
"frozen vegetables,soup,milk,eggs,whole wheat rice,chocolate,escalope,melons","chocolate,eggs,escalope,frozen vegetables,melons,milk,soup,whole wheat rice"
spaghetti,spaghetti
"herb & pepper,shrimp,soup,eggs,oil,cooking oil,energy drink,protein bar,low fat yogurt","cooking oil,eggs,energy drink,herb pepper,low fat yogurt,oil,protein bar,shrimp,soup"
"ham,grated cheese,herb & pepper,shrimp,ground beef,spaghetti,mineral water,carrots","carrots,grated cheese,ground beef,ham,herb pepper,mineral water,shrimp,spaghetti"
"ham,red wine,ground beef,yams,mineral water,chocolate,low fat yogurt","chocolate,ground beef,ham,low fat yogurt,mineral water,red wine,yams"
"chocolate,french fries,mushroom cream sauce,cottage cheese,low fat yogurt","chocolate,cottage cheese,french fries,low fat yogurt,mushroom cream sauce"
eggs,eggs
"cake,cookies","cake,cookies"
"grated cheese,mineral water,cake,chocolate bread","cake,chocolate bread,grated cheese,mineral water"
"tomatoes,almonds,cake,champagne,low fat yogurt","almonds,cake,champagne,low fat yogurt,tomatoes"
"herb & pepper,shrimp,frozen vegetables,milk,butter,salmon,eggs,chocolate","butter,chocolate,eggs,frozen vegetables,herb pepper,milk,salmon,shrimp"
"herb & pepper,shrimp,whole wheat pasta,whole wheat rice,chicken,green tea,cauliflower","cauliflower,chicken,green tea,herb pepper,shrimp,whole wheat pasta,whole wheat rice"
"eggs,corn","corn,eggs"
"shrimp,frozen vegetables,tomato sauce,mineral water,chocolate,soup,olive oil,salmon,green beans,champagne","champagne,chocolate,frozen vegetables,green beans,mineral water,olive oil,salmon,shrimp,soup,tomato sauce"
"ham,herb & pepper,tomato sauce,mineral water,green grapes,eggs,gums,light cream,oil,green tea,mint","eggs,green grapes,green tea,gums,ham,herb pepper,light cream,mineral water,mint,oil,tomato sauce"
"energy bar,cake,chocolate","cake,chocolate,energy bar"
"herb & pepper,shrimp,spaghetti,eggs","eggs,herb pepper,shrimp,spaghetti"
"fresh tuna,mineral water,honey,cooking oil","cooking oil,fresh tuna,honey,mineral water"
"red wine,mineral water,oil,ketchup,chili,pet food,eggplant,green tea,escalope,tomato juice,low fat yogurt","chili,eggplant,escalope,green tea,ketchup,low fat yogurt,mineral water,oil,pet food,red wine,tomato juice"
"herb & pepper,shrimp,mineral water,pancakes,eggs,cake,blueberries,tea,frozen smoothie","blueberries,cake,eggs,frozen smoothie,herb pepper,mineral water,pancakes,shrimp,tea"
"ground beef,mineral water,protein bar","ground beef,mineral water,protein bar"
"shrimp,frozen vegetables,parmesan cheese,spaghetti,salmon,carrots,frozen smoothie,pasta,mashed potato,shallot,light mayo,magazines","carrots,frozen smoothie,frozen vegetables,light mayo,magazines,mashed potato,parmesan cheese,pasta,salmon,shallot,shrimp,spaghetti"
"milk,chocolate","chocolate,milk"
"frozen vegetables,ground beef,spaghetti,olive oil,whole wheat rice,eggplant,cottage cheese","cottage cheese,eggplant,frozen vegetables,ground beef,olive oil,spaghetti,whole wheat rice"
"turkey,ground beef,low fat yogurt","ground beef,low fat yogurt,turkey"
"herb & pepper,spaghetti,mineral water,whole wheat rice,cake,hot dogs,green tea","cake,green tea,herb pepper,hot dogs,mineral water,spaghetti,whole wheat rice"
green tea,green tea
cookies,cookies
"eggs,cookies","cookies,eggs"
"spaghetti,eggs,ham,chocolate,french fries,champagne,brownies,pancakes,light mayo","brownies,champagne,chocolate,eggs,french fries,ham,light mayo,pancakes,spaghetti"
"red wine,spaghetti,milk,eggs,chocolate","chocolate,eggs,milk,red wine,spaghetti"
"turkey,burgers,pancakes,french fries,strawberries,green tea","burgers,french fries,green tea,pancakes,strawberries,turkey"
escalope,escalope
"frozen vegetables,pancakes,eggs,cake","cake,eggs,frozen vegetables,pancakes"
french fries,french fries
"turkey,ground beef,pepper,spaghetti,honey,cookies","cookies,ground beef,honey,pepper,spaghetti,turkey"
"chocolate,red wine,tomato sauce,olive oil,chili,french fries,cookies,salt,fresh bread,magazines","chili,chocolate,cookies,french fries,fresh bread,magazines,olive oil,red wine,salt,tomato sauce"
"green tea,french fries","french fries,green tea"
mineral water,mineral water
cooking oil,cooking oil
"frozen vegetables,spaghetti","frozen vegetables,spaghetti"
"ham,spaghetti","ham,spaghetti"
"chicken,chocolate,cookies","chicken,chocolate,cookies"
low fat yogurt,low fat yogurt
"eggs,cake,low fat yogurt","cake,eggs,low fat yogurt"
"shrimp,spaghetti,mineral water,soup,milk,bramble,frozen smoothie,cottage cheese","bramble,cottage cheese,frozen smoothie,milk,mineral water,shrimp,soup,spaghetti"
"mineral water,eggs,protein bar","eggs,mineral water,protein bar"
"turkey,shrimp,meatballs,butter,eggs,salad,green tea","butter,eggs,green tea,meatballs,salad,shrimp,turkey"
"fresh tuna,spaghetti,chocolate,olive oil,chicken,french fries","chicken,chocolate,french fries,fresh tuna,olive oil,spaghetti"
"turkey,shrimp,escalope,hot dogs","escalope,hot dogs,shrimp,turkey"
"burgers,pepper,soup,milk,pancakes,green tea","burgers,green tea,milk,pancakes,pepper,soup"
pancakes,pancakes
"mineral water,pancakes,eggs,french fries","eggs,french fries,mineral water,pancakes"
"eggs,escalope,low fat yogurt","eggs,escalope,low fat yogurt"
"mineral water,french wine,gluten free bar","french wine,gluten free bar,mineral water"
"burgers,ground beef,spaghetti,eggs,french fries","burgers,eggs,french fries,ground beef,spaghetti"
"soup,meatballs,milk,energy bar","energy bar,meatballs,milk,soup"
chocolate,chocolate
herb & pepper,herb pepper
"turkey,red wine,mineral water,eggs,bramble","bramble,eggs,mineral water,red wine,turkey"
"burgers,ham,frozen vegetables,tomatoes,cake,chicken,green tea,toothpaste,mint","burgers,cake,chicken,frozen vegetables,green tea,ham,mint,tomatoes,toothpaste"
"grated cheese,mineral water,olive oil,energy bar","energy bar,grated cheese,mineral water,olive oil"
"milk,cake,green tea","cake,green tea,milk"
"mineral water,almonds,cooking oil,cereals,protein bar,white wine,green tea","almonds,cereals,cooking oil,green tea,mineral water,protein bar,white wine"
"turkey,fresh tuna,mineral water,milk,eggs,cake,burger sauce,chicken,french fries,frozen smoothie,fresh bread","burger sauce,cake,chicken,eggs,french fries,fresh bread,fresh tuna,frozen smoothie,milk,mineral water,turkey"
"herb & pepper,mineral water,whole wheat rice,yogurt cake,low fat yogurt","herb pepper,low fat yogurt,mineral water,whole wheat rice,yogurt cake"
"tomatoes,spaghetti,meatballs,chicken,eggs","chicken,eggs,meatballs,spaghetti,tomatoes"
"burgers,mineral water,eggs,green tea,pancakes","burgers,eggs,green tea,mineral water,pancakes"
"cake,green tea","cake,green tea"
"chocolate,herb & pepper,yogurt cake","chocolate,herb pepper,yogurt cake"
"ground beef,spaghetti,mineral water,almonds,salmon,nonfat milk,green grapes,pancakes","almonds,green grapes,ground beef,mineral water,nonfat milk,pancakes,salmon,spaghetti"
"mineral water,vegetables mix,eggs","eggs,mineral water,vegetables mix"
protein bar,protein bar
"eggs,eggplant","eggplant,eggs"
mayonnaise,mayonnaise
"milk,bug spray,oatmeal,sandwich,asparagus","asparagus,bug spray,milk,oatmeal,sandwich"
"frozen vegetables,soup,almonds,eggs,french fries","almonds,eggs,french fries,frozen vegetables,soup"
frozen vegetables,frozen vegetables
"soup,butter,shampoo","butter,shampoo,soup"
"herb & pepper,whole wheat pasta,pepper,eggs","eggs,herb pepper,pepper,whole wheat pasta"
"mineral water,whole wheat rice,rice,cooking oil,chocolate,fresh bread,low fat yogurt","chocolate,cooking oil,fresh bread,low fat yogurt,mineral water,rice,whole wheat rice"
"grated cheese,butter,chocolate,french fries,cookies","butter,chocolate,cookies,french fries,grated cheese"
"spaghetti,soup,milk,chutney,cooking oil,asparagus,tomato juice","asparagus,chutney,cooking oil,milk,soup,spaghetti,tomato juice"
"eggs,french fries,frozen smoothie,cookies,champagne,cottage cheese,green tea","champagne,cookies,cottage cheese,eggs,french fries,frozen smoothie,green tea"
"turkey,tomatoes,mineral water,eggs,blueberries","blueberries,eggs,mineral water,tomatoes,turkey"
"milk,tomato juice,low fat yogurt,green tea","green tea,low fat yogurt,milk,tomato juice"
"mineral water,soup,almonds,cereals,green tea","almonds,cereals,green tea,mineral water,soup"
"chocolate,light mayo","chocolate,light mayo"
"turkey,herb & pepper,chocolate","chocolate,herb pepper,turkey"
"eggs,french fries,green tea","eggs,french fries,green tea"
"mineral water,cake,chocolate,tomato juice","cake,chocolate,mineral water,tomato juice"
eggs,eggs
"chocolate,pepper,spaghetti,mineral water,whole wheat rice,champagne,mushroom cream sauce","champagne,chocolate,mineral water,mushroom cream sauce,pepper,spaghetti,whole wheat rice"
"frozen vegetables,pepper,mineral water,chocolate,white wine","chocolate,frozen vegetables,mineral water,pepper,white wine"
"burgers,turkey,spaghetti,milk,whole wheat rice,oil,tomato juice,green tea","burgers,green tea,milk,oil,spaghetti,tomato juice,turkey,whole wheat rice"
"burgers,spaghetti,mineral water,soup,french wine,french fries,light mayo,low fat yogurt","burgers,french fries,french wine,light mayo,low fat yogurt,mineral water,soup,spaghetti"
"butter,green grapes,frozen smoothie,low fat yogurt","butter,frozen smoothie,green grapes,low fat yogurt"
